name,latitude,longitude,authority,source,source
Tule River,36.163076,-118.707104,California Independent System Operator,Tule River,Tule River
Volta 1,40.459111,-121.867080,California Independent System Operator,"N Battle, Bailey & Millseat Cr","N Battle, Bailey & Millseat Cr"
West Point PH,38.420898,-120.549572,California Independent System Operator,North Fork Mokelumne River,North Fork Mokelumne River
Wise,38.889862,-121.098525,California Independent System Operator,Tailwater From Halsey Plant,Tailwater From Halsey Plant
A G Wishon,37.151050,-119.504724,California Independent System Operator,North & South Forks Willow Cre,North & South Forks Willow Cre
Copco 1,41.978914,-122.335317,PacifiCorp - West,Klamath River,Klamath River
Copco 2,41.975716,-122.358127,PacifiCorp - West,Klamath River,Klamath River
Fall Creek,41.985605,-122.360455,PacifiCorp - West,Fall Creek,Fall Creek
Iron Gate,41.932981,-122.436780,PacifiCorp - West,Klamath River,Klamath River
Limestone,31.421900,-96.252500,"Electric Reliability Council of Texas, Inc.",Lake Limestone,Lake Limestone
Blundell,38.488900,-112.853300,PacifiCorp - East,Wells,Wells
Division,32.681667,-117.120277,,Municipality,Municipality
El Cajon,32.795800,-116.972200,California Independent System Operator,Municipality,Municipality
Encina,33.136100,-117.336400,California Independent System Operator,Pacific Ocean,Pacific Ocean
Kearny,32.834000,-117.133800,California Independent System Operator,Municipality,Municipality
Miramar,32.876100,-117.166400,California Independent System Operator,Municipality,Municipality
Naval Station,32.681667,-117.120277,,Municipality,Municipality
North Island,32.705000,-117.190277,,Municipality,Municipality
Silver Gate,32.697222,-117.114722,California Independent System Operator,San Diego Bay,San Diego Bay
Refuse & Coal,39.902222,-83.024444,,Quarry Pond,Quarry Pond
Green Lake,56.986284,-135.122750,,Green Lake,Green Lake
Drop 5,32.673097,-115.392026,Imperial Irrigation District,Canal Filtered,Canal Filtered
AES Alamitos LLC,33.768800,-118.100900,California Independent System Operator,Los Cerritos Channel,Los Cerritos Channel
Sepulveda Canyon,34.096900,-118.479500,Los Angeles Department of Water and Power,River,River
Big Creek 1,37.204200,-119.239600,California Independent System Operator,San Joaquin River,San Joaquin River
Big Creek 2,37.200000,-119.306900,California Independent System Operator,San Joaquin River,San Joaquin River
Big Creek 3,37.148517,-119.386623,California Independent System Operator,San Joaquin River,San Joaquin River
Big Creek 4,37.139000,-119.489800,California Independent System Operator,San Joaquin River,San Joaquin River
Big Creek 8,37.209600,-119.328900,California Independent System Operator,San Joaquin River,San Joaquin River
Big Creek 2A,37.200062,-119.306810,California Independent System Operator,San Joaquin River,San Joaquin River
Bishop Creek 2,37.273581,-118.573339,California Independent System Operator,Bishop Creek,Bishop Creek
Bishop Creek 3,37.301962,-118.531957,California Independent System Operator,Bishop Creek,Bishop Creek
Bishop Creek 4,37.323035,-118.501714,California Independent System Operator,Bishop Creek,Bishop Creek
Bishop Creek 5,37.334400,-118.479700,California Independent System Operator,Bishop Creek,Bishop Creek
Bishop Creek 6,37.349900,-118.462800,California Independent System Operator,Bishop Creek,Bishop Creek
Borel,35.588069,-118.524804,California Independent System Operator,Kern River,Kern River
Coolwater,34.860600,-116.853900,California Independent System Operator,Wells,Wells
El Segundo Power,33.909804,-118.424172,California Independent System Operator,Pacific Ocean,Pacific Ocean
Etiwanda Generating Station,34.091180,-117.526630,California Independent System Operator,Wells,Wells
Fontana,34.155162,-117.397119,California Independent System Operator,Lytle Creek,Lytle Creek
AES Huntington Beach LLC,33.643900,-117.979200,California Independent System Operator,Pacific Ocean,Pacific Ocean
Kaweah 2,36.461326,-118.879880,California Independent System Operator,Mid & Marble Forks Kaweah Rive,Mid & Marble Forks Kaweah Rive
Kaweah 1,36.465066,-118.862023,California Independent System Operator,East Fork Kaweah River,East Fork Kaweah River
Kaweah 3,36.486059,-118.835645,California Independent System Operator,Mid & Marble Forks Kaweah Rive,Mid & Marble Forks Kaweah Rive
Kern River 3,35.776185,-118.436233,California Independent System Operator,Kern River,Kern River
Kern River 1,35.460303,-118.779590,California Independent System Operator,Kern River,Kern River
Long Beach Generation LLC,33.764100,-118.224800,California Independent System Operator,Air Cooled Condensor,Air Cooled Condensor
Lundy,38.042729,-119.172015,California Independent System Operator,Mill Creek,Mill Creek
Mammoth Pool,37.220302,-119.337983,California Independent System Operator,San Joaquin River,San Joaquin River
Mandalay,34.206700,-119.251100,California Independent System Operator,Pacific Ocean,Pacific Ocean
Ormond Beach,34.129200,-119.168900,California Independent System Operator,Pacific Ocean,Pacific Ocean
Poole,37.944237,-119.216100,California Independent System Operator,Lee Vining Creek,Lee Vining Creek
Portal,37.257045,-119.158936,California Independent System Operator,Portal Forebay,Portal Forebay
AES Redondo Beach LLC,33.850400,-118.395000,California Independent System Operator,Pacific Ocean,Pacific Ocean
Rush Creek,37.766954,-119.123284,California Independent System Operator,Rush Creek,Rush Creek
Mountainview Generating Station,34.081800,-117.241800,California Independent System Operator,Wells,Wells
San Onofre Nuclear Generating Station,33.368794,-117.554916,California Independent System Operator,Pacific Ocean,Pacific Ocean
Santa Ana 1,34.145220,-117.058481,California Independent System Operator,Santa Ana River,Santa Ana River
Santa Ana 3,34.107245,-117.099091,California Independent System Operator,Santa Ana River,Santa Ana River
Lower Tule River,36.135680,-118.788868,California Independent System Operator,Tule River,Tule River
Columbia Generating Station,46.471100,-119.333900,Bonneville Power Administration,Columbia River,Columbia River
Magnolia,34.178056,-118.315556,,Municipality,Municipality
Pardee,38.256900,-120.850700,California Independent System Operator,Pardee Reservoir,Pardee Reservoir
Grayson,34.155600,-118.278200,Los Angeles Department of Water and Power,Municipality,Municipality
Prairie River,47.287206,-93.498266,"Midcontinent Independent Transmission System Operator, Inc..",Prairie River,Prairie River
Dion R Holm,37.896649,-119.967500,California Independent System Operator,Cherry Reservoir,Cherry Reservoir
Moccasin,37.809388,-120.299254,California Independent System Operator,Priest Reservoir,Priest Reservoir
R C Kirkwood,37.877667,-119.953233,California Independent System Operator,Hetch Hetchy Reservoir,Hetch Hetchy Reservoir
Brawley,32.968889,-115.534444,Imperial Irrigation District,Municipality,Municipality
Joliet 29,41.494636,-88.123827,"PJM Interconnection, LLC",Desplaines River,Desplaines River
