name,latitude,longitude
Dworshak,46.5143,-116.2977
City Power Plant,43.491398,-112.04541
Lower No 2,43.468398,-112.062602
Upper Power Plant,43.552695,-112.050953
Combie South,39.0096,-121.0591
Palisades Dam,43.334849,-111.205752
Albeni Falls,48.180245,-116.99859
E D Edwards,40.5958,-89.6631
Sterling Avenue,40.625278,-89.631111
Coffeen,39.0586,-89.4031
Grand Tower Energy Center LLC,37.6577,-89.511161
Bloom,42.057222,-87.869444
Calumet,41.713611,-87.542778
Crawford,41.82848,-87.72291
Dresden Generating Station,41.39,-88.27
Electric Junction,41.8333,-88.0833
Joliet 9,41.4931,-88.1153
Kincaid Generation LLC,39.590556,-89.496389
Lombard,41.89,-88.061667
Powerton,40.5408,-89.6786
Quad Cities Generating Station,41.726111,-90.310278
Sabrooke,42.216944,-89.052222
Waukegan,42.3833,-87.8133
Will County,41.6334,-88.0629
Fisk Street,41.8508,-87.6533
Joppa Steam,37.2094,-88.858889
Baldwin Energy Complex,38.205,-89.8544
Havana,40.2797,-90.08
Hennepin Power Station,41.3028,-89.315
Oglesby,41.2897,-89.0725
Stallings,38.7314,-90.0461
Vermilion,40.1781,-87.7481
Wood River,38.8639,-90.1347
Moline,41.509959,-90.534021
Bottle Rock Power,38.8348,-122.7677
Rockton,42.4511,-89.0756
Alamo,34.8158,-118.6867
Venice,38.6642,-90.1764
Quincy Chute,46.982514,-119.257764
Hydro Plant No 3,39.205623,-111.334381
Breese,38.607456,-89.524514
Bushnell,40.548586,-90.513814
Carlyle,38.6106,-89.3583
Carmi,38.0967,-88.1631
Fairfield,38.380709,-88.366006
Farmer City,40.24611,-88.638761
Freeburg,38.425556,-89.914444
Geneseo,41.451494,-90.148547
Highland,38.7412,-89.6849
McLeansboro,38.094683,-88.541331
Marshall (IL),39.392138,-87.68513
Peru (IL),41.3237,-89.1123
C H Corn Hydroelectric Facility,30.388517,-84.646624
Princeton (IL),41.375528,-89.464872
Rantoul,40.312222,-88.159444
Red Bud,38.2165,-89.9992
North Ninth Street,41.9093,-89.0498
South Main Street,41.9092,-89.0504
Dallman,39.754803,-89.602389
Lakeside,39.757327,-89.600512
Reynolds,39.806868,-89.641653
Sullivan (IL),39.596667,-88.611944
Waterloo,38.334786,-90.158939
Winnetka,42.115589,-87.731025
Marion,37.619747,-88.953114
Clifty Creek,38.7378,-85.4206
Elkhart,41.6928,-85.965
Last Chance,42.603349,-111.705304
Tanners Creek,39.0814,-84.8594
Twin Branch,41.665,-86.1322
Harding Street,39.711319,-86.196867
Eagle Valley (IN),39.48517,-86.4183
CC Perry K,39.7631,-86.1667
AES Petersburg,38.5281,-87.2525
Bailly,41.645,-87.1225
Dean H Mitchell,41.6392,-87.4069
Michigan City,41.7208,-86.9086
Norway (IN),40.7803,-86.76
Oakdale,40.6564,-86.7528
Cayuga,39.9242,-87.4244
Connersville,39.6561,-85.1758
Edwardsport,38.8067,-87.2472
Markland,38.7795,-84.964
Miami Wabash,40.7884,-85.8178
Noblesville,40.0969,-85.9714
R Gallagher,38.2636,-85.8381
Wabash River,39.53,-87.4247
Broadway (IN),37.969116,-87.604879
F B Culley,37.9111,-87.3275
Northeast (IN),38.0211,-87.5172
Butler-Warner Generation Plant,35.0986,-78.8294
Manti Lower,39.255911,-111.621491
Crawfordsville Power Plant,40.048889,-86.8992
Peru (IN),40.7551,-86.0575
Rensselaer City Light Plant,40.939528,-87.154472
Whitewater Valley,39.8028,-84.8953
Frank E Ratts,38.5201,-87.2662
Dubuque,42.5031,-90.658611
Lansing,43.3359,-91.1675
Milton L Kapp,41.8081,-90.233611
Ames Diesel Generating Station,42.013319,-93.575416
Sixth Street,41.984768,-91.668611
Duane Arnold Energy Center,42.1011,-91.7781
Iowa Hydro LLC,42.069987,-90.697657
Marshalltown,42.0474,-92.859444
Prairie Creek,41.944039,-91.639167
Sutherland,42.047333,-92.859444
Coralville GT,41.671877,-91.563999
Riverside,41.54,-90.4481
Walter Scott Jr Energy Center,41.18,-95.8408
River Hills,41.590218,-93.619499
George Neal North,42.299794,-96.361707
Merl Parr,43.0563,-92.6932
Burlington (IA),40.7412,-91.116667
Centerville,40.7478,-92.873056
Keokuk,40.3965,-91.3719
Algona,43.0733,-94.2392
Alta Municipal Utilities,42.6736,-95.3026
Ames Electric Services Power Plant,42.0258,-93.6089
Anita,41.444224,-94.766474
Atlantic,41.409,-95
Bancroft,43.292628,-94.217075
Bellevue,42.25,-90.4167
Bloomfield,40.7031,-92.4253
Brooklyn,41.7278,-92.4479
Cascade,42.29821,-91.011974
Gas Turbine (IA),42.512,-92.476
Streeter Station,42.5267,-92.4394
Coggon,42.280827,-91.532705
Corning,40.9871,-94.7352
Dayton (IA),42.260162,-94.069243
Estherville,43.4028,-94.8433
Forest City Light Plant,43.263235,-93.635383
Gowrie,42.282807,-94.288965
Graettinger,43.2397,-94.7498
Grand Junction,42.0296,-94.3699
Greenfield,41.303889,-94.460556
Grundy Center City Light Plant,42.363094,-92.772322
Harlan,41.644542,-95.315283
Indianola,41.359491,-93.563268
Lake Park,43.4301,-95.3153
Lake Mills,43.4172,-93.5322
Lamoni Municipal Utilities,40.622,-93.9326
