name,latitude,longitude,authority,source,owner
Loggerhead Solar Energy Center,27.237778,-80.541389,Florida Power & Light Company,,Florida Power &amp; Light Co
Greenfield Solar Park,39.793847,-85.816507,"PJM Interconnection, LLC",,City of Greenfield - (IN)
IMPA Anderson Solar Park 2,40.138307,-85.690907,"PJM Interconnection, LLC",,City of Anderson - (IN)
DG AMP Solar Front Royal,38.929000,-78.180000,"PJM Interconnection, LLC",,Virginia Electric & Power Co
Seward Wind Farm,40.895000,-97.195100,Southwest Power Pool,NA,City of Seward - (NE)
West Liberty Wind Farm,41.624000,-91.261000,"Midcontinent Independent Transmission System Operator, Inc..",NA,City of West Liberty - (IA)
Kramer Solar CSG,44.746994,-94.705735,"Midcontinent Independent Transmission System Operator, Inc..",NA,Northern States Power Co - Minnesota
Novel OYA of Osakis,45.850000,-95.150000,"Midcontinent Independent Transmission System Operator, Inc..",NA,Northern States Power Co - Minnesota
Novel - OYA of Mapleton,43.930000,-93.960000,"Midcontinent Independent Transmission System Operator, Inc..",NA,Northern States Power Co - Minnesota
Fresno Dam Site Water Power Project,48.601000,-109.943000,Western Area Power Administration - Rocky Mountain Region,Fresno Reservoir,NorthWestern Corporation
Foundation CDCR LAC,34.691000,-118.221000,California Independent System Operator,,Southern California Edison Co
Foundation Scheid Vineyards,36.274508,-121.191589,California Independent System Operator,,Pacific Gas &amp; Electric Co
AES LAWAI SOLAR,21.908230,-159.491974,,,Kauai Island Utility Cooperative
"BWC Wading River One, Two, Three CSG",42.085278,-71.526667,ISO New England Inc.,,Massachusetts Electric Co
Saratoga Wind Farm,43.448855,-92.280725,"Midcontinent Independent Transmission System Operator, Inc..",,Southern Minnesota Mun P Agny
Washburn Wind Farm,42.356203,-92.387794,"Midcontinent Independent Transmission System Operator, Inc..",NA,MidAmerican Energy Co
Lemond Solar,44.080995,-93.285927,"Midcontinent Independent Transmission System Operator, Inc..",,Southern Minnesota Mun P Agny
Pemberton Road I,39.981764,-74.697369,"PJM Interconnection, LLC",,Jersey Central Power &amp; Lt Co
Pemberton Road II,39.979936,-74.701917,"PJM Interconnection, LLC",,Jersey Central Power &amp; Lt Co
UAMPS Carbon Free Power Plant,43.519585,-112.046184,PacifiCorp - East,UNK,PacifiCorp
City of Shelby Electric Distribution,40.896088,-82.665640,"PJM Interconnection, LLC",NA,City of Shelby - (OH)
Orient Wind Farm,41.202447,-94.417197,"Midcontinent Independent Transmission System Operator, Inc..",NA,MidAmerican Energy Co
Plum Creek Wind,43.169003,-94.061614,"Midcontinent Independent Transmission System Operator, Inc..",,MidAmerican Energy Co
Beaver Creek Wind,42.106964,-94.164636,"Midcontinent Independent Transmission System Operator, Inc..",,MidAmerican Energy Co
Sub 12,30.459813,-84.260028,City of Tallahassee,NA,City of Tallahassee - (FL)
Luning Energy,38.546947,-118.191560,Nevada Power Company,,Sierra Pacific Power Co
Stone Solar,34.583119,-79.031836,Duke Energy Progress East,,Duke Energy Progress - (NC)
Tripple State Farm,35.734972,-80.774867,Duke Energy Carolinas,,"Duke Energy Carolinas, LLC"
Wadesboro Farm 1,34.991150,-80.097320,Duke Energy Progress East,,Duke Energy Progress - (NC)
Delco Farm,34.318997,-78.209050,Duke Energy Progress East,,Duke Energy Progress - (NC)
Fisher Solar Farm - NC,35.241250,-80.034650,Duke Energy Carolinas,,"Duke Energy Carolinas, LLC"
Kinston Davis Farm,35.218400,-77.642590,Duke Energy Progress East,,Duke Energy Progress - (NC)
Laurinburg Farm,34.764403,-79.442969,Duke Energy Carolinas,,"Duke Energy Carolinas, LLC"
Independence Solar Farm,39.117142,-94.288161,Southwest Power Pool,,City of Independence - (MO)
Mills Anson Farm,34.968056,-79.935844,Duke Energy Progress East,,Duke Energy Progress - (NC)
Old Wire Farm,34.817836,-79.513928,Duke Energy Progress East,,Duke Energy Progress - (NC)
Railroad Farm 2,34.807903,-78.950494,Duke Energy Progress East,,Duke Energy Progress - (NC)
Sampson Solar,34.961039,-78.470536,Duke Energy Progress East,,Duke Energy Progress - (NC)
Syncarpha Freetown,41.768919,-70.786494,ISO New England Inc.,NA,Eversource
Battle Mountain Solar Project,40.718433,-117.061430,Nevada Power Company,NA,Sierra Pacific Power Co
Kihei Solar Farm,20.793700,-156.433900,Hawaiian Electric Co Inc,,Maui Electric Co Ltd
"Burke Wind, LLC",48.754492,-102.637766,Southwest Power Pool,NA,Basin Electric Power Coop
Ku'ia Solar,20.886013,-156.657889,Hawaiian Electric Co Inc,,Maui Electric Co Ltd
Hamilton College,43.051067,-75.409560,New York Independent System Operator,,Niagara Mohawk Power Corp.
Pima Community College - East Campus,32.146142,-110.990639,Tucson Electric Power Company,,Tucson Electric Power Co
Pine River Wind Park,43.524324,-84.696781,"Midcontinent Independent Transmission System Operator, Inc..",,ITC Midwest LLC
Vanadium Redox Flow Battery Plant,32.682506,-116.988781,California Independent System Operator,,San Diego Gas & Electric Co
Martinsdale Wind Farm,46.504479,-110.219870,NorthWestern Energy (NWMT),,NorthWestern Energy LLC - (MT)
Poplar Camp Wind Farm,36.836583,-80.875222,"PJM Interconnection, LLC",,New York State Elec & Gas Corp
Manteca Land PV,37.840130,-121.216191,California Independent System Operator,,Pacific Gas & Electric Co
Delano Land 1,35.761217,-119.344408,California Independent System Operator,,Pacific Gas & Electric Co
Bakersfield PV 1,35.324982,-118.981522,California Independent System Operator,,Pacific Gas & Electric Co
Bakersfield Industrial PV 1,35.330032,-118.993119,California Independent System Operator,,Pacific Gas & Electric Co
Quichapa 1,37.658223,-113.216679,PacifiCorp - East,,PacifiCorp
Quichapa 2,37.666772,-113.188953,PacifiCorp - East,,PacifiCorp
Quichapa 3,37.649816,-113.236928,PacifiCorp - East,,PacifiCorp
Elizabeth Mines Solar 1,43.823611,-72.331110,ISO New England Inc.,,Green Mountain Power Corp
Nebraska Valley Solar Farm,44.462340,-72.770856,ISO New England Inc.,,Town of Stowe- (VT)
Bedford Solar,37.335046,-79.480995,"PJM Interconnection, LLC",,Town of Bedford - (VA)
Gamble Solar,35.348375,-81.817362,Duke Energy Carolinas,,"Duke Energy Carolinas, LLC"
Salisbury Solar,35.632585,-80.422626,Duke Energy Carolinas,,"Duke Energy Carolinas, LLC"
Wadesboro Solar,34.973863,-80.028987,Duke Energy Progress East,,Duke Energy Progress - (NC)
Bear Poplar Solar,35.670497,-80.684681,Duke Energy Carolinas,,"Duke Energy Carolinas, LLC"
Tolson Solar,35.829572,-77.615869,"PJM Interconnection, LLC",,Edgecombe-Martin County E M C
Phelps 158 Solar Farm,36.442636,-77.161514,"PJM Interconnection, LLC",,Virginia Electric & Power Co
Lebanon Solar Farm (MO),37.667831,-92.670628,Southwest Power Pool,,City of Lebanon - (MO)
Armstrong Solar,45.642252,-95.356350,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
Marmas Solar CSG,45.556056,-94.117112,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
"CF Novel Solar CSG Gardens Two, LLC",43.845905,-93.836750,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
